"Name"|"RequiredServices"|"CanPauseAndContinue"|"CanShutdown"|"CanStop"|"DisplayName"|"DependentServices"|"MachineName"|"ServiceName"|"ServicesDependedOn"|"ServiceHandle"|"Status"|"ServiceType"|"StartType"|"Site"|"Container"
"lppsvc"|"System.ServiceProcess.ServiceController[]"|"False"|"True"|"True"|"Microsoft Policy Platform Processor"|"System.ServiceProcess.ServiceController[]"|"."|"lppsvc"|"System.ServiceProcess.ServiceController[]"||"Running"|"Win32ShareProcess"|"Manual"||
"LSM"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"False"|"Local Session Manager"|"System.ServiceProcess.ServiceController[]"|"."|"LSM"|"System.ServiceProcess.ServiceController[]"||"Running"|"Win32OwnProcess, Win32ShareProcess"|"Automatic"||
"MapsBroker"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"False"|"Downloaded Maps Manager"|"System.ServiceProcess.ServiceController[]"|"."|"MapsBroker"|"System.ServiceProcess.ServiceController[]"||"Stopped"|"Win32OwnProcess"|"Automatic"||
"MessagingService_1dde2e"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"False"|"MessagingService_1dde2e"|"System.ServiceProcess.ServiceController[]"|"."|"MessagingService_1dde2e"|"System.ServiceProcess.ServiceController[]"||"Stopped"|"224"|"Manual"||
"MpsSvc"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"False"|"Windows Defender Firewall"||"."|"MpsSvc"|"System.ServiceProcess.ServiceController[]"||"Running"|"Win32ShareProcess"|"Automatic"||
"MSDTC"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"False"|"Distributed Transaction Coordinator"|"System.ServiceProcess.ServiceController[]"|"."|"MSDTC"|"System.ServiceProcess.ServiceController[]"||"Stopped"|"Win32OwnProcess"|"Manual"||
"MSiSCSI"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"False"|"Microsoft iSCSI Initiator Service"|"System.ServiceProcess.ServiceController[]"|"."|"MSiSCSI"|"System.ServiceProcess.ServiceController[]"||"Stopped"|"Win32ShareProcess"|"Manual"||
"msiserver"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"False"|"Windows Installer"|"System.ServiceProcess.ServiceController[]"|"."|"msiserver"|"System.ServiceProcess.ServiceController[]"||"Stopped"|"Win32OwnProcess"|"Manual"||
"nam"|"System.ServiceProcess.ServiceController[]"|"False"|"True"|"True"|"Cisco AnyConnect Network Access Manager"|"System.ServiceProcess.ServiceController[]"|"."|"nam"|"System.ServiceProcess.ServiceController[]"||"Running"|"Win32OwnProcess"|"Automatic"||
"namlm"|"System.ServiceProcess.ServiceController[]"|"False"|"True"|"True"|"Cisco AnyConnect Network Access Manager Logon Module"|"System.ServiceProcess.ServiceController[]"|"."|"namlm"|"System.ServiceProcess.ServiceController[]"||"Running"|"Win32OwnProcess"|"Automatic"||
"NaturalAuthentication"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"False"|"Natural Authentication"|"System.ServiceProcess.ServiceController[]"|"."|"NaturalAuthentication"|"System.ServiceProcess.ServiceController[]"||"Stopped"|"Win32ShareProcess"|"Manual"||
"NcaSvc"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"False"|"Network Connectivity Assistant"|"System.ServiceProcess.ServiceController[]"|"."|"NcaSvc"|"System.ServiceProcess.ServiceController[]"||"Stopped"|"Win32OwnProcess, Win32ShareProcess"|"Manual"||
"NcbService"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"True"|"Network Connection Broker"|"System.ServiceProcess.ServiceController[]"|"."|"NcbService"|"System.ServiceProcess.ServiceController[]"||"Running"|"Win32OwnProcess, Win32ShareProcess"|"Manual"||
"NcdAutoSetup"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"False"|"Network Connected Devices Auto-Setup"|"System.ServiceProcess.ServiceController[]"|"."|"NcdAutoSetup"|"System.ServiceProcess.ServiceController[]"||"Stopped"|"Win32ShareProcess"|"Manual"||
"Netlogon"|"System.ServiceProcess.ServiceController[]"|"True"|"False"|"True"|"Netlogon"|"System.ServiceProcess.ServiceController[]"|"."|"Netlogon"|"System.ServiceProcess.ServiceController[]"||"Running"|"Win32ShareProcess"|"Automatic"||
"Netman"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"True"|"Network Connections"|"System.ServiceProcess.ServiceController[]"|"."|"Netman"|"System.ServiceProcess.ServiceController[]"||"Running"|"Win32OwnProcess, Win32ShareProcess"|"Manual"||
"NetMsmqActivator"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"False"|"Net.Msmq Listener Adapter"|"System.ServiceProcess.ServiceController[]"|"."|"NetMsmqActivator"|"System.ServiceProcess.ServiceController[]"||"Stopped"|"Win32ShareProcess"|"Disabled"||
"NetPipeActivator"|"System.ServiceProcess.ServiceController[]"|"True"|"True"|"True"|"Net.Pipe Listener Adapter"|"System.ServiceProcess.ServiceController[]"|"."|"NetPipeActivator"|"System.ServiceProcess.ServiceController[]"||"Running"|"Win32ShareProcess"|"Automatic"||
"netprofm"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"True"|"Network List Service"|"System.ServiceProcess.ServiceController[]"|"."|"netprofm"|"System.ServiceProcess.ServiceController[]"||"Running"|"Win32OwnProcess, Win32ShareProcess"|"Manual"||
"NetSetupSvc"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"False"|"Network Setup Service"|"System.ServiceProcess.ServiceController[]"|"."|"NetSetupSvc"|"System.ServiceProcess.ServiceController[]"||"Stopped"|"Win32OwnProcess, Win32ShareProcess"|"Manual"||
"NetTcpActivator"|"System.ServiceProcess.ServiceController[]"|"True"|"True"|"True"|"Net.Tcp Listener Adapter"|"System.ServiceProcess.ServiceController[]"|"."|"NetTcpActivator"|"System.ServiceProcess.ServiceController[]"||"Running"|"Win32ShareProcess"|"Automatic"||
"NetTcpPortSharing"|"System.ServiceProcess.ServiceController[]"|"True"|"True"|"True"|"Net.Tcp Port Sharing Service"|"System.ServiceProcess.ServiceController[]"|"."|"NetTcpPortSharing"|"System.ServiceProcess.ServiceController[]"||"Running"|"Win32ShareProcess"|"Manual"||
"NgcCtnrSvc"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"True"|"Microsoft Passport Container"||"."|"NgcCtnrSvc"|"System.ServiceProcess.ServiceController[]"||"Running"|"Win32OwnProcess, Win32ShareProcess"|"Manual"||
"NgcSvc"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"False"|"Microsoft Passport"||"."|"NgcSvc"|"System.ServiceProcess.ServiceController[]"||"Stopped"|"Win32OwnProcess, Win32ShareProcess"|"Manual"||
"NlaSvc"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"True"|"Network Location Awareness"|"System.ServiceProcess.ServiceController[]"|"."|"NlaSvc"|"System.ServiceProcess.ServiceController[]"||"Running"|"Win32OwnProcess, Win32ShareProcess"|"Automatic"||
"nsi"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"True"|"Network Store Interface Service"|"System.ServiceProcess.ServiceController[]"|"."|"nsi"|"System.ServiceProcess.ServiceController[]"||"Running"|"Win32OwnProcess, Win32ShareProcess"|"Automatic"||
"OneSyncSvc_1dde2e"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"True"|"Sync Host_1dde2e"|"System.ServiceProcess.ServiceController[]"|"."|"OneSyncSvc_1dde2e"|"System.ServiceProcess.ServiceController[]"||"Running"|"224"|"Automatic"||
"ose"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"False"|"Office  Source Engine"|"System.ServiceProcess.ServiceController[]"|"."|"ose"|"System.ServiceProcess.ServiceController[]"||"Stopped"|"Win32OwnProcess"|"Manual"||
"p2pimsvc"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"False"|"Peer Networking Identity Manager"|"System.ServiceProcess.ServiceController[]"|"."|"p2pimsvc"|"System.ServiceProcess.ServiceController[]"||"Stopped"|"Win32ShareProcess"|"Manual"||
"p2psvc"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"False"|"Peer Networking Grouping"|"System.ServiceProcess.ServiceController[]"|"."|"p2psvc"|"System.ServiceProcess.ServiceController[]"||"Stopped"|"Win32ShareProcess"|"Manual"||
"PcaSvc"|"System.ServiceProcess.ServiceController[]"|"False"|"True"|"True"|"Program Compatibility Assistant Service"|"System.ServiceProcess.ServiceController[]"|"."|"PcaSvc"|"System.ServiceProcess.ServiceController[]"||"Running"|"Win32OwnProcess, Win32ShareProcess"|"Manual"||
"PeerDistSvc"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"False"|"BranchCache"|"System.ServiceProcess.ServiceController[]"|"."|"PeerDistSvc"|"System.ServiceProcess.ServiceController[]"||"Stopped"|"Win32ShareProcess"|"Manual"||
"PerfHost"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"False"|"Performance Counter DLL Host"|"System.ServiceProcess.ServiceController[]"|"."|"PerfHost"|"System.ServiceProcess.ServiceController[]"||"Stopped"|"Win32OwnProcess"|"Manual"||
"PhoneSvc"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"False"|"Phone Service"|"System.ServiceProcess.ServiceController[]"|"."|"PhoneSvc"|"System.ServiceProcess.ServiceController[]"||"Stopped"|"Win32ShareProcess"|"Manual"||
"PimIndexMaintenanceSvc_1dde2e"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"False"|"Contact Data_1dde2e"|"System.ServiceProcess.ServiceController[]"|"."|"PimIndexMaintenanceSvc_1dde2e"|"System.ServiceProcess.ServiceController[]"||"Stopped"|"224"|"Manual"||
"pla"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"False"|"Performance Logs & Alerts"||"."|"pla"|"System.ServiceProcess.ServiceController[]"||"Stopped"|"Win32ShareProcess"|"Manual"||
"PlugPlay"|"System.ServiceProcess.ServiceController[]"|"False"|"True"|"True"|"Plug and Play"|"System.ServiceProcess.ServiceController[]"|"."|"PlugPlay"|"System.ServiceProcess.ServiceController[]"||"Running"|"Win32OwnProcess, Win32ShareProcess"|"Manual"||
"PNRPAutoReg"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"False"|"PNRP Machine Name Publication Service"|"System.ServiceProcess.ServiceController[]"|"."|"PNRPAutoReg"|"System.ServiceProcess.ServiceController[]"||"Stopped"|"Win32ShareProcess"|"Manual"||
"PNRPsvc"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"False"|"Peer Name Resolution Protocol"|"System.ServiceProcess.ServiceController[]"|"."|"PNRPsvc"|"System.ServiceProcess.ServiceController[]"||"Stopped"|"Win32ShareProcess"|"Manual"||
"PolicyAgent"|"System.ServiceProcess.ServiceController[]"|"False"|"True"|"True"|"IPsec Policy Agent"|"System.ServiceProcess.ServiceController[]"|"."|"PolicyAgent"|"System.ServiceProcess.ServiceController[]"||"Running"|"Win32OwnProcess, Win32ShareProcess"|"Manual"||
"Power"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"False"|"Power"|"System.ServiceProcess.ServiceController[]"|"."|"Power"|"System.ServiceProcess.ServiceController[]"||"Running"|"Win32ShareProcess"|"Automatic"||
"PrintNotify"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"False"|"Printer Extensions and Notifications"|"System.ServiceProcess.ServiceController[]"|"."|"PrintNotify"|"System.ServiceProcess.ServiceController[]"||"Stopped"|"Win32ShareProcess, InteractiveProcess"|"Manual"||
"PrintWorkflowUserSvc_1dde2e"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"False"|"PrintWorkflow_1dde2e"|"System.ServiceProcess.ServiceController[]"|"."|"PrintWorkflowUserSvc_1dde2e"|"System.ServiceProcess.ServiceController[]"||"Stopped"|"224"|"Manual"||
"ProfSvc"|"System.ServiceProcess.ServiceController[]"|"False"|"True"|"True"|"User Profile Service"|"System.ServiceProcess.ServiceController[]"|"."|"ProfSvc"|"System.ServiceProcess.ServiceController[]"||"Running"|"Win32OwnProcess, Win32ShareProcess"|"Automatic"||
"PushToInstall"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"False"|"Windows PushToInstall Service"|"System.ServiceProcess.ServiceController[]"|"."|"PushToInstall"|"System.ServiceProcess.ServiceController[]"||"Stopped"|"Win32OwnProcess, Win32ShareProcess"|"Manual"||
"QWAVE"|"System.ServiceProcess.ServiceController[]"|"False"|"True"|"True"|"Quality Windows Audio Video Experience"|"System.ServiceProcess.ServiceController[]"|"."|"QWAVE"|"System.ServiceProcess.ServiceController[]"||"Running"|"Win32OwnProcess, Win32ShareProcess"|"Manual"||
"RasAuto"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"False"|"Remote Access Auto Connection Manager"|"System.ServiceProcess.ServiceController[]"|"."|"RasAuto"|"System.ServiceProcess.ServiceController[]"||"Stopped"|"Win32ShareProcess"|"Manual"||
"RasMan"|"System.ServiceProcess.ServiceController[]"|"False"|"True"|"True"|"Remote Access Connection Manager"|"System.ServiceProcess.ServiceController[]"|"."|"RasMan"|"System.ServiceProcess.ServiceController[]"||"Running"|"Win32ShareProcess"|"Automatic"||
"RemoteAccess"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"False"|"Routing and Remote Access"|"System.ServiceProcess.ServiceController[]"|"."|"RemoteAccess"|"System.ServiceProcess.ServiceController[]"||"Stopped"|"Win32ShareProcess"|"Disabled"||
"RemoteRegistry"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"False"|"Remote Registry"|"System.ServiceProcess.ServiceController[]"|"."|"RemoteRegistry"|"System.ServiceProcess.ServiceController[]"||"Stopped"|"Win32ShareProcess"|"Disabled"||
"RetailDemo"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"False"|"Retail Demo Service"|"System.ServiceProcess.ServiceController[]"|"."|"RetailDemo"|"System.ServiceProcess.ServiceController[]"||"Stopped"|"Win32ShareProcess"|"Manual"||
"RmSvc"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"True"|"Radio Management Service"|"System.ServiceProcess.ServiceController[]"|"."|"RmSvc"|"System.ServiceProcess.ServiceController[]"||"Running"|"Win32OwnProcess, Win32ShareProcess"|"Manual"||
"RpcEptMapper"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"False"|"RPC Endpoint Mapper"||"."|"RpcEptMapper"|"System.ServiceProcess.ServiceController[]"||"Running"|"Win32ShareProcess"|"Automatic"||
"RpcLocator"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"False"|"Remote Procedure Call (RPC) Locator"|"System.ServiceProcess.ServiceController[]"|"."|"RpcLocator"|"System.ServiceProcess.ServiceController[]"||"Stopped"|"Win32OwnProcess"|"Manual"||
"RpcSs"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"False"|"Remote Procedure Call (RPC)"|"System.ServiceProcess.ServiceController[]"|"."|"RpcSs"|"System.ServiceProcess.ServiceController[]"||"Running"|"Win32ShareProcess"|"Automatic"||
"RtkAudioService"|"System.ServiceProcess.ServiceController[]"|"False"|"True"|"True"|"Realtek Audio Service"|"System.ServiceProcess.ServiceController[]"|"."|"RtkAudioService"|"System.ServiceProcess.ServiceController[]"||"Running"|"Win32OwnProcess"|"Automatic"||
"SamSs"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"False"|"Security Accounts Manager"|"System.ServiceProcess.ServiceController[]"|"."|"SamSs"|"System.ServiceProcess.ServiceController[]"||"Running"|"Win32ShareProcess"|"Automatic"||
"SCardSvr"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"True"|"Smart Card"|"System.ServiceProcess.ServiceController[]"|"."|"SCardSvr"|"System.ServiceProcess.ServiceController[]"||"Running"|"Win32OwnProcess, Win32ShareProcess"|"Automatic"||
"ScDeviceEnum"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"False"|"Smart Card Device Enumeration Service"|"System.ServiceProcess.ServiceController[]"|"."|"ScDeviceEnum"|"System.ServiceProcess.ServiceController[]"||"Stopped"|"Win32OwnProcess, Win32ShareProcess"|"Manual"||
"Schedule"|"System.ServiceProcess.ServiceController[]"|"False"|"True"|"True"|"Task Scheduler"|"System.ServiceProcess.ServiceController[]"|"."|"Schedule"|"System.ServiceProcess.ServiceController[]"||"Running"|"Win32OwnProcess, Win32ShareProcess"|"Automatic"||
"SCPolicySvc"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"False"|"Smart Card Removal Policy"|"System.ServiceProcess.ServiceController[]"|"."|"SCPolicySvc"|"System.ServiceProcess.ServiceController[]"||"Stopped"|"Win32ShareProcess"|"Manual"||
"SDRSVC"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"False"|"Windows Backup"|"System.ServiceProcess.ServiceController[]"|"."|"SDRSVC"|"System.ServiceProcess.ServiceController[]"||"Stopped"|"Win32OwnProcess"|"Manual"||
"seclogon"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"False"|"Secondary Logon"|"System.ServiceProcess.ServiceController[]"|"."|"seclogon"|"System.ServiceProcess.ServiceController[]"||"Stopped"|"Win32ShareProcess"|"Manual"||
"SecurityHealthService"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"True"|"Windows Defender Security Center Service"|"System.ServiceProcess.ServiceController[]"|"."|"SecurityHealthService"|"System.ServiceProcess.ServiceController[]"||"Running"|"Win32OwnProcess"|"Automatic"||
"SEMgrSvc"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"False"|"Payments and NFC/SE Manager"|"System.ServiceProcess.ServiceController[]"|"."|"SEMgrSvc"|"System.ServiceProcess.ServiceController[]"||"Stopped"|"Win32OwnProcess, Win32ShareProcess"|"Manual"||
"SENS"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"True"|"System Event Notification Service"|"System.ServiceProcess.ServiceController[]"|"."|"SENS"|"System.ServiceProcess.ServiceController[]"||"Running"|"Win32OwnProcess, Win32ShareProcess"|"Automatic"||
"Sense"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"False"|"Windows Defender Advanced Threat Protection Service"|"System.ServiceProcess.ServiceController[]"|"."|"Sense"|"System.ServiceProcess.ServiceController[]"||"Stopped"|"Win32OwnProcess"|"Manual"||
"SensorDataService"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"False"|"Sensor Data Service"|"System.ServiceProcess.ServiceController[]"|"."|"SensorDataService"|"System.ServiceProcess.ServiceController[]"||"Stopped"|"Win32OwnProcess"|"Manual"||
"SensorService"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"False"|"Sensor Service"|"System.ServiceProcess.ServiceController[]"|"."|"SensorService"|"System.ServiceProcess.ServiceController[]"||"Stopped"|"Win32ShareProcess"|"Manual"||
"SensrSvc"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"False"|"Sensor Monitoring Service"|"System.ServiceProcess.ServiceController[]"|"."|"SensrSvc"|"System.ServiceProcess.ServiceController[]"||"Stopped"|"Win32ShareProcess"|"Manual"||
"SepMasterService"|"System.ServiceProcess.ServiceController[]"|"False"|"True"|"False"|"Symantec Endpoint Protection"|"System.ServiceProcess.ServiceController[]"|"."|"SepMasterService"|"System.ServiceProcess.ServiceController[]"||"Running"|"Win32OwnProcess"|"Automatic"||
"SessionEnv"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"False"|"Remote Desktop Configuration"|"System.ServiceProcess.ServiceController[]"|"."|"SessionEnv"|"System.ServiceProcess.ServiceController[]"||"Stopped"|"Win32ShareProcess"|"Manual"||
"SGMasterWatchDog"|"System.ServiceProcess.ServiceController[]"|"False"|"True"|"True"|"SafeGuard(R) MasterApplication WatchDog"|"System.ServiceProcess.ServiceController[]"|"."|"SGMasterWatchDog"|"System.ServiceProcess.ServiceController[]"||"Running"|"Win32ShareProcess"|"Automatic"||
"SGN_LogSystem"|"System.ServiceProcess.ServiceController[]"|"False"|"True"|"True"|"SafeGuard(R) Log Service"|"System.ServiceProcess.ServiceController[]"|"."|"SGN_LogSystem"|"System.ServiceProcess.ServiceController[]"||"Running"|"Win32ShareProcess"|"Automatic"||
"SGN_Sem"|"System.ServiceProcess.ServiceController[]"|"False"|"True"|"True"|"SafeGuard(R) System Event Manager"|"System.ServiceProcess.ServiceController[]"|"."|"SGN_Sem"|"System.ServiceProcess.ServiceController[]"||"Running"|"Win32ShareProcess"|"Automatic"||
"SGN_Trans"|"System.ServiceProcess.ServiceController[]"|"False"|"True"|"True"|"SafeGuard(R) Transport Service"|"System.ServiceProcess.ServiceController[]"|"."|"SGN_Trans"|"System.ServiceProcess.ServiceController[]"||"Running"|"Win32ShareProcess"|"Automatic"||
"SGN_WMIListener"|"System.ServiceProcess.ServiceController[]"|"False"|"True"|"True"|"SafeGuard(R) WMI Listener"|"System.ServiceProcess.ServiceController[]"|"."|"SGN_WMIListener"|"System.ServiceProcess.ServiceController[]"||"Running"|"Win32OwnProcess"|"Automatic"||
"SGNAuthService"|"System.ServiceProcess.ServiceController[]"|"False"|"True"|"True"|"SafeGuard(R) Authentication Service"|"System.ServiceProcess.ServiceController[]"|"."|"SGNAuthService"|"System.ServiceProcess.ServiceController[]"||"Running"|"Win32OwnProcess"|"Automatic"||
"SGNSafeModeService"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"False"|"SGNSafeModeService"|"System.ServiceProcess.ServiceController[]"|"."|"SGNSafeModeService"|"System.ServiceProcess.ServiceController[]"||"Stopped"|"Win32OwnProcess"|"Automatic"||
"SGTelemetryWinService"|"System.ServiceProcess.ServiceController[]"|"False"|"True"|"True"|"SafeGuard(R) Telemetry Service"|"System.ServiceProcess.ServiceController[]"|"."|"SGTelemetryWinService"|"System.ServiceProcess.ServiceController[]"||"Running"|"Win32OwnProcess"|"Manual"||
"SharedAccess"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"False"|"Internet Connection Sharing (ICS)"|"System.ServiceProcess.ServiceController[]"|"."|"SharedAccess"|"System.ServiceProcess.ServiceController[]"|"SafeServiceHandle"|"Stopped"|"Win32ShareProcess"|"Disabled"||
"SharedRealitySvc"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"False"|"Spatial Data Service"|"System.ServiceProcess.ServiceController[]"|"."|"SharedRealitySvc"|"System.ServiceProcess.ServiceController[]"||"Stopped"|"Win32ShareProcess"|"Manual"||
"ShellHWDetection"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"True"|"Shell Hardware Detection"|"System.ServiceProcess.ServiceController[]"|"."|"ShellHWDetection"|"System.ServiceProcess.ServiceController[]"||"Running"|"Win32OwnProcess, Win32ShareProcess"|"Automatic"||
"shpamsvc"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"False"|"Shared PC Account Manager"|"System.ServiceProcess.ServiceController[]"|"."|"shpamsvc"|"System.ServiceProcess.ServiceController[]"||"Stopped"|"Win32ShareProcess"|"Disabled"||
"SISIDSService"|"System.ServiceProcess.ServiceController[]"|"False"|"True"|"False"|"Symantec Data Center Security Server IDS Agent"|"System.ServiceProcess.ServiceController[]"|"."|"SISIDSService"|"System.ServiceProcess.ServiceController[]"||"Running"|"Win32OwnProcess"|"Automatic"||
"SISIPSService"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"False"|"Symantec Data Center Security Server Agent"|"System.ServiceProcess.ServiceController[]"|"."|"SISIPSService"|"System.ServiceProcess.ServiceController[]"||"Running"|"Win32OwnProcess"|"Automatic"||
"SISIPSUtil"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"False"|"Symantec Data Center Security Server Utility"|"System.ServiceProcess.ServiceController[]"|"."|"SISIPSUtil"|"System.ServiceProcess.ServiceController[]"||"Running"|"Win32OwnProcess"|"Automatic"||
"smphost"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"False"|"Microsoft Storage Spaces SMP"|"System.ServiceProcess.ServiceController[]"|"."|"smphost"|"System.ServiceProcess.ServiceController[]"||"Stopped"|"Win32OwnProcess"|"Manual"||
"SmsRouter"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"False"|"Microsoft Windows SMS Router Service."||"."|"SmsRouter"|"System.ServiceProcess.ServiceController[]"||"Stopped"|"Win32OwnProcess, Win32ShareProcess"|"Manual"||
"smstsmgr"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"False"|"ConfigMgr Task Sequence Agent"|"System.ServiceProcess.ServiceController[]"|"."|"smstsmgr"|"System.ServiceProcess.ServiceController[]"||"Stopped"|"Win32OwnProcess"|"Manual"||
"SNAC"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"False"|"Symantec Network Access Control"|"System.ServiceProcess.ServiceController[]"|"."|"SNAC"|"System.ServiceProcess.ServiceController[]"||"Stopped"|"Win32OwnProcess"|"Manual"||
"SNMPTRAP"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"False"|"SNMP Trap"|"System.ServiceProcess.ServiceController[]"|"."|"SNMPTRAP"|"System.ServiceProcess.ServiceController[]"||"Stopped"|"Win32OwnProcess"|"Manual"||
"spectrum"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"False"|"Windows Perception Service"|"System.ServiceProcess.ServiceController[]"|"."|"spectrum"|"System.ServiceProcess.ServiceController[]"||"Stopped"|"Win32OwnProcess"|"Manual"||
"Spooler"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"True"|"Print Spooler"|"System.ServiceProcess.ServiceController[]"|"."|"Spooler"|"System.ServiceProcess.ServiceController[]"||"Running"|"Win32OwnProcess, InteractiveProcess"|"Automatic"||
"sppsvc"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"False"|"Software Protection"|"System.ServiceProcess.ServiceController[]"|"."|"sppsvc"|"System.ServiceProcess.ServiceController[]"||"Stopped"|"Win32OwnProcess"|"Automatic"||
"SSDPSRV"|"System.ServiceProcess.ServiceController[]"|"False"|"True"|"True"|"SSDP Discovery"|"System.ServiceProcess.ServiceController[]"|"."|"SSDPSRV"|"System.ServiceProcess.ServiceController[]"||"Running"|"Win32OwnProcess, Win32ShareProcess"|"Manual"||
"SstpSvc"|"System.ServiceProcess.ServiceController[]"|"False"|"True"|"True"|"Secure Socket Tunneling Protocol Service"|"System.ServiceProcess.ServiceController[]"|"."|"SstpSvc"|"System.ServiceProcess.ServiceController[]"||"Running"|"Win32OwnProcess, Win32ShareProcess"|"Manual"||
"StateRepository"|"System.ServiceProcess.ServiceController[]"|"False"|"True"|"True"|"State Repository Service"|"System.ServiceProcess.ServiceController[]"|"."|"StateRepository"|"System.ServiceProcess.ServiceController[]"||"Running"|"Win32OwnProcess, Win32ShareProcess"|"Manual"||
"stisvc"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"False"|"Windows Image Acquisition (WIA)"|"System.ServiceProcess.ServiceController[]"|"."|"stisvc"|"System.ServiceProcess.ServiceController[]"||"Stopped"|"Win32OwnProcess"|"Manual"||
"StorSvc"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"True"|"Storage Service"|"System.ServiceProcess.ServiceController[]"|"."|"StorSvc"|"System.ServiceProcess.ServiceController[]"||"Running"|"Win32OwnProcess, Win32ShareProcess"|"Manual"||
"svsvc"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"False"|"Spot Verifier"|"System.ServiceProcess.ServiceController[]"|"."|"svsvc"|"System.ServiceProcess.ServiceController[]"||"Stopped"|"Win32ShareProcess"|"Manual"||
"swprv"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"False"|"Microsoft Software Shadow Copy Provider"|"System.ServiceProcess.ServiceController[]"|"."|"swprv"|"System.ServiceProcess.ServiceController[]"||"Stopped"|"Win32OwnProcess"|"Manual"||
"SysMain"|"System.ServiceProcess.ServiceController[]"|"False"|"True"|"True"|"Superfetch"|"System.ServiceProcess.ServiceController[]"|"."|"SysMain"|"System.ServiceProcess.ServiceController[]"||"Running"|"Win32OwnProcess, Win32ShareProcess"|"Automatic"||
